,$,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2022-07,"507,983",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-08,"1,244,266",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
2022-09,"1,146,886",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.35%,6.16%,5.85%,5.53%,,
2022-10,"1,850,708",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.37%,,,
2022-11,"1,950,431",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.05%,6.04%,6.04%,6.04%,6.04%,6.04%,10.76%,10.76%,10.73%,10.73%,10.73%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,6.04%,8.54%,,,,
2022-12,"2,488,850",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
2023-01,"2,193,709",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.15%,4.15%,12.38%,12.38%,12.38%,12.38%,12.38%,12.38%,12.38%,12.38%,12.38%,15.63%,21.66%,28.59%,28.37%,28.19%,27.99%,27.88%,27.66%,27.32%,20.97%,16.57%,16.41%,,,,,,
2023-02,"4,918,184",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
2023-03,"6,912,373",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.52%,2.52%,2.52%,2.50%,3.94%,5.49%,5.49%,5.49%,5.49%,5.49%,6.63%,6.58%,7.67%,9.98%,9.71%,8.79%,8.67%,8.56%,8.27%,8.17%,,,,,,,,
2023-04,"4,133,057",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.30%,6.30%,6.30%,6.30%,9.22%,7.36%,7.36%,7.36%,7.36%,7.36%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,9.57%,11.72%,11.72%,11.72%,11.72%,11.72%,,,,,,,,,
2023-05,"5,713,717",0.00%,0.00%,0.00%,2.96%,2.96%,2.96%,2.96%,2.96%,2.96%,2.96%,2.96%,2.96%,5.46%,7.61%,10.68%,10.68%,14.20%,11.86%,11.74%,11.63%,19.23%,19.09%,18.98%,18.86%,18.75%,18.64%,18.52%,18.41%,18.29%,18.18%,,,,,,,,,,
2023-06,"6,035,024",0.00%,0.00%,0.00%,0.09%,3.45%,3.45%,3.45%,5.33%,5.33%,5.33%,5.33%,5.33%,7.71%,7.69%,7.69%,15.19%,15.19%,15.19%,15.15%,15.14%,15.11%,15.02%,15.02%,15.02%,17.74%,17.74%,17.74%,17.74%,16.78%,,,,,,,,,,,
2023-07,"8,218,994",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.72%,2.38%,2.38%,2.38%,3.63%,3.63%,3.63%,3.63%,3.63%,3.63%,3.63%,3.63%,5.30%,5.30%,7.83%,7.83%,7.79%,7.76%,7.72%,7.72%,7.63%,,,,,,,,,,,,
2023-08,"5,913,094",0.00%,0.00%,0.00%,0.00%,0.00%,4.98%,2.52%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,7.17%,9.80%,9.77%,9.73%,9.06%,9.02%,,,,,,,,,,,,,
2023-09,"6,295,147",0.00%,0.00%,0.00%,0.00%,0.00%,2.94%,2.94%,2.94%,2.94%,2.94%,3.27%,5.55%,5.55%,5.55%,4.35%,4.35%,4.35%,4.35%,4.35%,5.53%,5.53%,5.53%,7.89%,7.04%,7.04%,7.04%,,,,,,,,,,,,,,
